epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,18.44,18.44,18.44,14.595555553860134,8.829939842224121,49.63329556973347
1,23.16,23.16,23.16,20.019999998643662,8.707144737243652,49.26472780394729
2,25.11,25.11,25.11,23.60666666531033,8.586133003234863,48.91814739729295
3,25.59,25.59,25.59,24.92888888753255,8.466923713684082,48.56150497883251
4,28.63,28.63,28.63,26.731111109754774,8.349454879760742,48.2078438972035
5,31.07,31.07,31.07,28.235555554877386,8.233813285827637,47.86908949973168
6,31.34,31.34,31.34,29.966666665988498,8.119941711425781,47.4878510524119
7,31.36,31.36,31.36,30.56,8.007834434509277,47.11741995110608
8,31.36,31.36,31.36,31.051111111111112,7.89747953414917,46.73953550772166
9,30.63,30.63,30.63,32.00666666429308,7.788839817047119,46.359042394609745
10,34.4,34.4,34.4,32.24888888753255,7.681937217712402,45.9807852841214
11,33.06,33.06,33.06,33.1866666659885,7.576841831207275,45.61668952358237
12,32.68,32.68,32.68,33.59777777709961,7.473408222198486,45.254457098562995
13,35.64,35.64,35.64,34.444444443427194,7.371676921844482,44.86911931309999
14,35.66,35.66,35.66,34.846666666666664,7.2715959548950195,44.47819152107805
15,37.16,37.16,37.16,35.795555552842885,7.173171043395996,44.110369089499734
16,33.07,33.07,33.07,35.522222221544055,7.076422691345215,43.720931965893506
17,36.32,36.32,36.32,35.577777772352434,6.981324672698975,43.34192952119731
18,38.22,38.22,38.22,36.49999999932183,6.887876510620117,42.95174706338322
19,34.53,34.53,34.53,37.13111110873752,6.796088218688965,42.56268260688093
20,38.39,38.39,38.39,37.35777777709961,6.705920219421387,42.17659948721006
21,38.85,38.85,38.85,37.53555555352105,6.617455959320068,41.7841810267724
22,37.78,37.78,37.78,37.819999997287326,6.530547618865967,41.38430922425616
23,40.16,40.16,40.16,37.94666666259766,6.445208549499512,40.99487210064993
24,38.47,38.47,38.47,38.377777773708765,6.361382484436035,40.586801621847236
25,38.43,38.43,38.43,39.13999999864366,6.279081344604492,40.19065649037028
26,40.25,40.25,40.25,39.668888888210724,6.198456287384033,39.81128137857015
27,40.43,40.43,40.43,39.61777777506511,6.119338512420654,39.41215491026176
28,41.21,41.21,41.21,40.50666666191949,6.0417585372924805,39.03128913004591
29,40.33,40.33,40.33,41.07333333265517,5.965623378753662,38.63700733408861
30,43.33,43.33,43.33,41.377777775743276,5.8909478187561035,38.21887484347982
31,41.28,41.28,41.28,41.886666664971244,5.817851543426514,37.850307077693635
32,42.37,42.37,42.37,42.63777777438693,5.746150970458984,37.44559060282631
33,38.36,38.36,38.36,43.24888888888889,5.675937175750732,37.034538787192176
34,42.97,42.97,42.97,43.45555555148655,5.607087135314941,36.652182338560614
35,43.92,43.92,43.92,44.55111110568576,5.5396270751953125,36.261254546538666
36,44.26,44.26,44.26,44.46888888753255,5.473550796508789,35.86846341899708
37,38.81,38.81,38.81,44.764444439019094,5.408773422241211,35.48051696380657
38,45.53,45.53,45.53,45.48666666531033,5.34528923034668,35.083999165225684
39,41.01,41.01,41.01,45.64666666191949,5.283037185668945,34.69009003637231
40,42.12,42.12,42.12,46.48222221679688,5.222147464752197,33.9864945441536
41,47.08,47.08,47.08,46.42666666666667,5.162035942077637,33.812086339514636
42,47.01,47.01,47.01,47.391111105685766,5.103442668914795,33.43681056585773
43,46.99,46.99,46.99,47.65777777506511,5.046167373657227,33.06228012640868
44,46.05,46.05,46.05,47.47777777506511,4.990163326263428,32.68812235406356
45,42.53,42.53,42.53,47.855555554877384,4.935346603393555,29.697468845030112
46,45.9,45.9,45.9,41.642222216796874,4.880963325500488,29.663556138572535
47,47.51,47.51,47.51,44.89555555419922,4.828334808349609,29.640078111024984
48,44.89,44.89,44.89,45.73111110772027,4.776879787445068,29.614364080853854
49,44.94,44.94,44.94,46.153333332655166,4.726769924163818,29.57411603362948
50,47.52,47.52,47.52,46.89333333129883,4.677757740020752,25.949555780812116
51,41.71,41.71,41.71,34.92888888617622,4.627871036529541,25.91564307435454
52,43.88,43.88,43.88,41.635555550130206,4.58035135269165,25.8910470454952
53,42.04,42.04,42.04,43.83555555080838,4.5344133377075195,25.869432353467296
54,44.36,44.36,44.36,44.48888888617621,4.4895219802856445,25.842972989088306
55,44.94,44.94,44.94,45.34222221883138,4.4457197189331055,22.67455727148053
56,31.43,31.43,31.43,27.211111108398438,4.400302886962891,22.655178582076203
57,35.18,35.18,35.18,32.83555555487739,4.358381271362305,22.623129211138274
