epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,16.71,16.71,16.71,13.762222221883137,8.811908721923828,49.48907340051279
1,22.13,22.13,22.13,19.0666666659885,8.689168930053711,49.14547433068988
2,24.79,24.79,24.79,22.862222219509547,8.568312644958496,48.78175123725479
3,25.09,25.09,25.09,24.12222221950955,8.449495315551758,48.42361815037863
4,25.77,25.77,25.77,25.451111109076606,8.332378387451172,48.06175839246318
5,27.71,27.71,27.71,26.895555554877387,8.216983795166016,47.690581956949494
6,26.98,26.98,26.98,27.999999998982748,8.103279113769531,47.316796851708304
7,28.72,28.72,28.72,28.67777777608236,7.991403102874756,46.95158308985749
8,30.15,30.15,30.15,29.711111111111112,7.881294250488281,46.564009301770916
9,27.37,27.37,27.37,30.931111109076607,7.772870063781738,46.195441535984735
10,30.75,30.75,30.75,31.43333333129883,7.666137218475342,45.821656430743545
11,31.7,31.7,31.7,32.031111110432946,7.561246871948242,45.44265398604735
12,30.33,30.33,30.33,32.51999999864366,7.45807409286499,45.06402420845507
13,33.35,33.35,33.35,33.20888888821072,7.356576919555664,44.68129509271957
14,33.15,33.15,33.15,34.25333333231608,7.256706237792969,44.29595730725657
15,36.13,36.13,36.13,34.74888888549805,7.158514022827148,43.9173275296643
16,37.05,37.05,37.05,35.537777777099606,7.062021732330322,43.53497108103274
17,34.6,34.6,34.6,35.46888888888889,6.967146873474121,43.149260628465804
18,36.55,36.55,36.55,35.87999999898275,6.873892784118652,42.76205950748316
19,36.54,36.54,36.54,36.517777774386936,6.782313346862793,42.36144237075905
20,35.75,35.75,35.75,36.655555552842884,6.69235897064209,41.9615705682428
21,35.45,35.45,35.45,36.851111109076605,6.604123115539551,41.58666746168982
22,36.26,36.26,36.26,37.44888888346354,6.51742696762085,41.21362769065649
23,38.83,38.83,38.83,37.79333332790799,6.4322590827941895,40.8107745513088
24,40.04,40.04,40.04,38.32222222222222,6.348635673522949,40.42245542901437
25,39.84,39.84,39.84,38.388888888888886,6.26653528213501,40.03488164092779
26,39.08,39.08,39.08,38.96888888753255,6.1861090660095215,39.65103452388051
27,36.33,36.33,36.33,39.79333333333334,6.107158660888672,39.22954802933636
28,40.78,40.78,40.78,40.02222221679688,6.029719829559326,38.83452089917119
29,39.03,39.03,39.03,40.422222221544054,5.953760147094727,38.42719575457635
30,40.42,40.42,40.42,40.22666666531033,5.87924337387085,38.03589529545048
31,39.97,39.97,39.97,40.92666666191949,5.806282043457031,37.62968815216743
32,42.27,42.27,42.27,41.15555555080838,5.734732151031494,37.2540397114066
